state,year,state_abbr,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population,m_gdp,rpcgdp,rpcpi,pov,lab,state_area,density,refundable_eitc,eitc,ca_model,nc_model
West Virginia,2007,WV,54,0.06533457066648056,0.11557523996048094,0.2863446619834116,0.08701770724057988,0.1103054875216188,0.2891046709689802,0.0013625567868304714,0.006105061361400876,0.011987119231079599,0.0022338516028989363,0.005511839358971283,0.009606052609195377,3.8439477179491095e-4,0.0012017107475687711,0.0031678491122389112,4.1002108991457166e-4,0.00114718666646311,0.0032000183200912515,1834052,67119.1,36596.072521389804,29711,13,55.1,24181,75.846821884951,0,0,1,0
Wyoming,2007,WY,56,0.05433221905637942,0.13036292523874693,0.2992226235613488,0.06410270791734907,0.12076630845280027,0.28238133698277734,2.748300540686066e-4,0.0026379946006177134,0.004038319161824423,3.2717863579596017e-4,0.002353816585526365,0.002436078642526492,8.824475205468183e-4,0.006868881759510615,0.010095797904561056,0.0011628863512290698,0.006898795234783389,0.010854852339607686,534876,40632.2,75965.64437364922,46278,5.2,71.1,97914,5.462712175991176,0,0,1,0
Alaska,2008,AK,02,0.028334945560073023,0.09856790626295539,0.2519015790124445,0.028212755744012337,0.0916176331541701,0.21990675753322037,7.622317097119084e-4,0.00899695252780182,0.01395727720359878,9.076957764508223e-4,0.008400549854172273,0.010723610999992727,0.0064586045632077736,0.046010284309518444,0.06583412732469762,0.00852419431090035,0.04321010102479435,0.06767279312827748,687455,51252.1,74553.38894909485,47869,5.7,73.6,589757,1.1656580591667416,0,0,1,0
Alabama,2008,AL,01,0.046873536255093565,0.09147481055299408,0.21272025850503348,0.0625629741473772,0.08682283054194752,0.21306594074103588,0.009213247577575035,0.04369775291710451,0.07130464418043637,0.015200056970806277,0.04281182296830617,0.08464869910300653,4.98918444849589e-4,0.0029055535091091827,0.006230546101632697,6.483396443478729e-4,0.0028576539472842007,0.006462413892059821,4718206,186946.7,39622.41156914302,33583,12,61.5,51609,91.4221550504757,0,0,1,0
Arkansas,2008,AR,05,0.05559749442870094,0.10820356827528722,0.2393658285772332,0.07177878724838706,0.10247502743034224,0.23900020664075192,0.005045652299452367,0.02822037783948397,0.04245841267897559,0.008093429450272981,0.027624459307426474,0.04801718805769521,5.600868865222223e-4,0.003926522166569144,0.007249124559844762,7.086316694694203e-4,0.0038865159603889855,0.007788686523196294,2874554,106536.5,37061.923345325915,32306,13,61.4,53104,54.13064929195541,0,0,1,0
Arizona,2008,AZ,04,0.05662444298592979,0.12288750234461007,0.2505947905550667,0.06773845201916705,0.11690329315412074,0.24984403765260665,0.001193402545904201,0.009135779115917203,0.01408485689200718,0.001474755754524978,0.008525782431012735,0.012496254196812223,0.002291906103501677,0.015933157993122053,0.024850319137654803,0.0031795937877466297,0.015581904355194812,0.02665976897510048,6280362,280810.1,44712.406705218586,35748,10.3,63.6,113909,55.1349059336839,0,0,1,0
California,2008,CA,06,0.03848647770891193,0.11203497552762669,0.2329249673337889,0.05019213980026465,0.10636406281583519,0.22467031707199067,0.002556008595374914,0.012105423463891724,0.021230189198618733,0.003579493872543027,0.011575978005010718,0.021686200736267945,0.0068334252304583475,0.02221985334688619,0.049018726933914965,0.009179759218149479,0.021148614165583713,0.05419338697488224,36604337,2061638.8,56322.25492842556,43567,10,65.5,158693,230.66132091522624,1,1,1,0
Colorado,2008,CO,08,0.043675622171367334,0.12427025623091663,0.28471776560259976,0.05553005994195999,0.11728520797671856,0.27733719448722116,0.0012990492317571727,0.008777580766218176,0.014659705137093458,0.0016628730011677537,0.008247081127178802,0.012757555120630383,0.0012293112298634077,0.007722103265415473,0.014835788479118478,0.0017489718246201733,0.007963629893675111,0.016280244512478195,4889730,270981.4,55418.479138929964,42953,7.8,71,104247,46.90523468301246,1,1,0,1
Connecticut,2008,CT,09,0.053412432778962196,0.10752630247415161,0.24935024716696483,0.0744761292866412,0.10189055158550973,0.25496033228987425,0.0033249858485736744,0.019834560166336727,0.030902146024669033,0.005251328485418038,0.018818647109541207,0.035148279025795225,0.0011236528645955993,0.006627408386613301,0.014371700644661986,0.0013433631009208934,0.006689175449200257,0.014948757311570268,3545579,257756,72697.85837517653,60970,6.7,68.8,5009,707.8416849670593,1,1,0,1
Delaware,2008,DE,10,0.05219069686403266,0.09005469105324967,0.2169528688478222,0.06700841975213662,0.08655419211335552,0.22298992842871268,0.007404901603622236,0.038494174509036354,0.059880706978596494,0.010503759585642298,0.0376286665293922,0.0698900522020107,0.0012943021290364916,0.005875271814760928,0.012528935119711633,0.0015680968101788263,0.005874140431781001,0.013306195226921485,883874,58655.7,66362.06065570432,40894,6.9,66,2057,429.69081186193483,0,1,1,0
