State,sfip,year,pov,lab
Louisiana,22,2019,14.3,59.2
Maine,23,2019,6.5,63
Maryland,24,2019,5.8,67.5
Massachusetts,25,2019,6,67.6
Michigan,26,2019,8.8,61.9
Minnesota,27,2019,5.2,69.5
Connecticut,09,2019,6.8,66.2
Florida,12,2019,8.7,59.3
Alabama,01,2019,11.2,58
Alaska,02,2019,6.6,66.3
Arizona,04,2019,9.5,60.2
Arkansas,05,2019,11.7,58.2
California,06,2019,8.2,64
Colorado,08,2019,5.8,68.5
Delaware,10,2019,7.6,62.4
District of Columbia,11,2019,8.8,70.8
