year,state,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population
2008,MT,30,62397,112840,274097,73366,106047,266052,112,1746,2100,100,1492,1115,1823,15089,19734,2533,14768,21004,976415
2008,NC,37,412823,890800,2076123,551167,842355,2082965,70620,340638,567028,115762,330664,660189,8736,60478,110827,11589,58989,117696,9309449
2008,ND,38,40352,75958,187644,53239,71808,174567,83,2264,2929,81,1949,1688,825,9191,12192,1205,8826,12768,657569
2008,NE,31,99319,229167,486164,133500,218191,478120,2266,19419,24738,3139,18222,24116,1041,11563,16887,1483,11004,18039,1796378
2008,NH,33,73896,162331,386065,95050,154504,390505,372,4102,5878,397,3805,4394,780,5233,10673,863,5394,11664,1315906
2008,NJ,34,408441,859286,1968253,577380,810805,1987543,44552,211157,363355,71532,204240,416860,25812,110740,249593,30188,107299,264054,8711090
2008,NM,35,107025,236377,499565,130135,226119,508236,1775,10394,16789,2043,9762,13578,7161,44661,68337,10235,44502,73968,2010662
2008,NV,32,124378,293850,673267,136156,277923,629670,8397,43893,71024,9946,41597,69343,10151,37548,80521,13990,36320,95656,2653630
2008,NY,36,869731,1768186,4229743,1219907,1679966,4290253,122305,541766,946239,210763,525749,1127045,60994,219371,535260,75569,210515,579074,19212436
2008,OH,39,604940,1285289,2899955,831680,1223914,2936194,53768,267279,388913,82998,257865,437179,7004,35032,76617,8739,36179,81846,11515391
2008,OK,40,189686,381249,871914,247752,361192,865613,8946,57680,85952,13149,55118,86425,13163,84628,120987,17539,81204,126779,3668976
2008,OR,41,215254,440826,1044001,271645,418801,1043870,2261,18223,27222,2715,16844,22121,6979,38461,71986,9190,37900,80449,3768748
2008,PA,42,739728,1324041,3179120,1030964,1260994,3208251,49889,257806,394135,83314,248243,436213,11596,58621,124054,13921,59103,132292,12612285
2008,RI,44,57808,114353,276017,84619,109335,287249,1898,15555,22987,2902,14878,23383,1101,6779,13093,1374,7232,14440,1055003
2008,SC,45,205807,393559,945645,263852,373644,947111,47051,213658,353867,74848,208937,410104,2361,13722,28279,3059,13487,30005,4528996
2008,SD,46,47614,93535,210249,62129,88168,202923,141,2933,3774,146,2816,1988,1569,18405,20668,2276,18230,21560,799124
2008,TN,47,312707,649322,1513925,415772,615723,1538847,30829,185265,290670,50775,181542,335603,3136,19243,39199,3777,19283,41793,6247411
2008,TX,48,950014,3083326,5951235,1229232,2932339,5891753,83897,519968,857301,127329,500275,938382,33186,190975,389201,40330,182928,407368,24309039
2008,UT,49,102946,440532,708863,124937,421097,696628,542,9600,11166,562,8692,7669,2697,24347,36705,3507,23677,38862,2663029
2008,VA,51,327067,732812,1780180,427875,696218,1769309,56254,252798,457054,86350,246501,503573,14426,70365,153557,18402,68451,172304,7833496
